Accession_ID,Full_sample_ID
GSM8016712,WT_HBSS_13_LV
GSM8016713,WT_HBSS_13_RV
GSM8016714,WT_HBSS_2004_LV
GSM8016715,WT_HBSS_2004_RV
GSM8016716,PKP2_HBSS_2006_LV
GSM8016717,PKP2_HBSS_2006_RV
GSM8016718,WT_HBSS_2027_LV
GSM8016719,WT_HBSS_2027_RV
GSM8016720,PKP2_m3e13_2029_LV
GSM8016721,PKP2_m3e13_2029_RV
GSM8016722,WT_HBSS_2031_LV
GSM8016723,WT_HBSS_2031_RV
GSM8016724,PKP2_m3e13_2033_LV
GSM8016725,PKP2_m3e13_2033_RV
GSM8016726,PKP2_m1e14_2034_LV
GSM8016727,PKP2_m1e14_2034_RV
GSM8016728,WT_HBSS_2040_LV
GSM8016729,WT_HBSS_2040_RV
GSM8016730,PKP2_m1e14_2043_LV
GSM8016731,PKP2_m1e14_2043_RV
GSM8016732,PKP2_m3e13_2045_LV
GSM8016733,PKP2_m3e13_2045_RV
GSM8016734,PKP2_m3e13_2047_LV
GSM8016735,PKP2_m3e13_2047_RV
GSM8016736,PKP2_m3e13_2048_LV
GSM8016737,PKP2_m3e13_2048_RV
GSM8016738,PKP2_HBSS_2052_LV
GSM8016739,PKP2_HBSS_2052_RV
GSM8016740,PKP2_HBSS_3213_LV
GSM8016741,PKP2_HBSS_3213_RV
GSM8016742,PKP2_HBSS_3217_LV
GSM8016743,PKP2_HBSS_3217_RV
GSM8016744,PKP2_m1e14_5726_LV
GSM8016745,PKP2_m1e14_5726_RV
GSM8016746,PKP2_m1e14_2.5wk_5755_LV
GSM8016747,PKP2_m1e14_2.5wk_5755_RV
GSM8016748,PKP2_m3e13_5759_LV
GSM8016749,PKP2_m3e13_5759_RV
GSM8016750,PKP2_m3e13_5768_LV
GSM8016751,PKP2_m3e13_5768_RV
GSM8016752,PKP2_m1e14_2.5wk_5801_LV
GSM8016753,PKP2_m1e14_2.5wk_5801_RV
GSM8016754,WT_HBSS_5803_LV
GSM8016755,WT_HBSS_5803_RV
GSM8016756,PKP2_m1e14_2.5wk_5806_LV
GSM8016757,PKP2_m1e14_2.5wk_5806_RV
GSM8016758,PKP2_m1e14_2.5wk_5807_LV
GSM8016759,PKP2_m1e14_2.5wk_5807_RV
GSM8016760,PKP2_m3e13_5809_LV
GSM8016761,PKP2_m3e13_5809_RV
GSM8016762,PKP2_m1e14_2.5wk_5810_LV
GSM8016763,PKP2_m1e14_2.5wk_5810_RV
GSM8016764,WT_HBSS_5813_LV
GSM8016765,WT_HBSS_5813_RV
GSM8016766,PKP2_m1e14_2.5wk_5814_LV
GSM8016767,PKP2_m1e14_2.5wk_5814_RV
GSM8016768,WT_HBSS_5819_LV
GSM8016769,WT_HBSS_5819_RV
GSM8016770,PKP2_m1e14_5822_LV
GSM8016771,PKP2_m1e14_5822_RV
GSM8016772,WT_HBSS_5823_LV
GSM8016773,WT_HBSS_5823_RV
GSM8016774,PKP2_m1e14_5825_LV
GSM8016775,PKP2_m1e14_5825_RV
