Gene	13_LV	13_RV	2004_LV	2004_RV	2006_LV	2006_RV	2027_LV	2027_RV	2029_LV	2029_RV	2031_LV	2031_RV	2033_LV	2033_RV	2034_LV	2034_RV	2040_LV	2040_RV	2043_LV	2043_RV	2045_LV	2045_RV	2047_LV	2047_RV	2048_LV	2048_RV	2052_LV	2052_RV	3213_LV	3213_RV	3217_LV	3217_RV	5726_LV	5726_RV	5755_LV	5755_RV	5759_LV	5759_RV	5768_LV	5768_RV	5801_LV	5801_RV	5803_LV	5803_RV	5806_LV	5806_RV	5807_LV	5807_RV	5809_LV	5809_RV	5810_LV	5810_RV	5813_LV	5813_RV	5814_LV	5814_RV	5819_LV	5819_RV	5822_LV	5822_RV	5823_LV	5823_RV	5825_LV	5825_RV
	3.166381	5.994887	4.718959	4.819569	1.423952	2.801139	4.256131	4.805051	3.605541	4.466024	3.261264	5.258056	5.409955	4.375638	4.020317	4.021445	4.843694	5.512521	5.298852	4.023967	4.22892	3.061599	4.741491	2.907345	7.015346	3.722243	3.110584	3.797887	3.239371	6.0186	4.550508	6.185116	5.110359	4.103489	2.583975	3.900729	3.624015	5.548246	5.362857	5.722284	3.405483	2.890477	4.108723	5.377663	4.258691	3.73688	5.225114	3.860941	5.285528	4.259833	4.758441	5.708208	3.564992	4.270638	2.926303	4.67054	4.657909	5.408791	2.530205	3.439002	4.381083	5.582218	3.929332	4.244214
0610007P14Rik	3.217691	12.064284	6.337247	8.476963	23.154316	18.849915	5.496598	7.013031	8.730235	9.752448	6.677531	6.848223	11.698364	12.522281	6.969617	8.11571	4.293254	3.842659	9.054361	5.898237	10.634958	10.096494	5.886251	10.279536	8.948884	9.771986	9.675621	9.881511	14.000909	11.837398	12.444945	13.359008	5.802077	8.072931	12.144563	5.127485	10.00056	7.41864	17.716124	19.488061	5.573152	8.024912	10.320047	10.474358	10.566984	11.465206	6.225107	10.281375	11.441928	15.545549	13.616145	10.606917	7.034017	10.564844	7.921063	12.390068	6.298566	6.605531	4.071614	9.176198	3.468379	7.473998	5.465018	14.999372
0610009B22Rik	9.802294	7.738638	15.940231	6.067148	4.915662	3.998462	7.528592	5.1019	8.51123	15.832217	13.485706	11.817809	14.189735	16.463056	14.306286	18.692491	11.766255	6.961285	12.737983	10.824582	8.558941	7.581719	7.266052	11.017504	6.85756	10.601059	2.965391	4.544575	6.980248	4.575601	5.873	11.132107	8.350746	17.711516	9.805918	18.080256	5.617913	7.883729	8.622874	17.758956	11.254486	11.860993	12.056301	7.179473	11.070513	16.194638	11.734763	8.775127	7.053787	10.540258	16.565906	12.187395	14.329086	5.140727	11.300948	11.298371	13.371238	5.60421	10.59763	17.48357	11.50598	7.695208	9.861304	10.391285
0610009E02Rik	0	0.683118	0.310596	1.95909	0	0.137253	0	0	0.320758	0.323409	1.137984	0.344553	0.486058	0	0.550375	0.899124	0	1.981193	0.759401	0.81162	0.991192	2.243445	0.44525	0.638804	1.571033	0.364285	0.242881	0	1.47083	0	0.314675	0	0.867903	0	0.26905	1.458315	1.006561	0.473244	0.377594	0	0.071355	0	0	0	0.08555	2.511109	0	1.228562	0	2.673274	1.503755	1.541494	0	0.077165	0.497236	0.887976	1.375571	1.023634	1.558664	0.912174	0	0	0.840871	0
0610009L18Rik	6.33785	4.419557	1.753402	0	0	0	6.871805	0	0	0.707134	6.260759	0	0	0	2.896131	0	0	0	4.8734	6.262465	6.745735	4.119037	0	0	0	0	0.252072	0	0	4.406076	0	0	0	0	6.581994	0	0	0	5.925318	6.776796	1.38652	0	0	4.21657	1.194249	0	5.117718	8.336267	0	0	6.386416	6.362009	1.805872	0	0	0	5.606952	0	0	4.537966	1.819649	5.985956	6.178173	11.662248
0610009O20Rik	30.470072	27.398154	38.666265	22.877883	8.059927	9.349685	29.378315	24.086616	22.230935	29.33092	34.526147	33.143013	29.863471	32.722581	42.870179	40.18716	31.653314	31.309257	27.78336	48.052324	23.734151	31.727616	19.240601	28.74085	18.299575	20.62002	12.403796	13.252319	16.939529	18.860368	15.952399	15.906215	30.377596	34.913962	26.178207	33.921765	16.835047	24.837846	23.672077	33.60632	32.640185	40.509154	36.228809	22.971322	32.196059	30.277375	42.197427	36.691905	25.317485	19.768761	38.934853	29.029413	27.783709	18.426477	27.622658	32.683951	38.331186	22.894545	32.078459	40.450612	32.039379	28.061516	38.29914	37.302532
0610010F05Rik	6.470288	6.622078	7.283514	8.024638	11.224132	9.446136	7.33247	7.42683	4.619384	7.94737	5.311381	6.953099	6.225273	7.059221	6.280296	6.026064	7.990655	7.401306	8.387594	6.189654	6.191947	6.668329	6.946926	6.153422	7.032967	8.216146	7.89044	8.946359	9.696849	7.407324	6.678776	6.805134	5.750314	6.708608	3.85507	5.813102	6.057778	8.641437	8.837771	7.186631	5.640408	6.166729	4.85102	7.062138	6.087384	8.115371	5.939412	6.690485	9.200911	8.860067	9.537287	8.220072	4.786834	10.026229	4.911003	7.617969	5.824142	6.020774	6.085443	6.857679	6.029889	6.134658	6.901053	6.198151
0610010K14Rik	9.9495	15.537153	16.040499	3.561837	11.464538	13.212155	4.921487	14.525336	7.095792	13.863238	4.191826	12.469118	8.18925	16.377741	4.955522	10.642657	6.174841	4.932334	4.010246	3.531671	3.812664	8.368243	11.052927	4.287536	13.689851	13.264338	7.928913	8.498127	22.066802	5.467982	6.64845	7.979819	7.819404	8.636072	8.352053	8.780707	4.404958	5.097655	11.756091	14.538787	11.533513	9.466955	10.785479	7.182028	9.622404	13.328037	7.090547	3.833371	18.942107	8.415893	11.770048	6.853938	10.851298	6.578284	9.077864	7.715172	12.115228	10.113404	13.471202	5.650708	8.171158	8.011896	10.479052	8.605924
0610011F06Rik	1.987973	2.4725	1.194318	3.578217	0	1.109353	0.974466	1.714981	1.00465	4.376495	3.466969	2.208762	1.937454	2.112353	1.680274	1.995573	2.097799	3.007963	2.14844	2.219468	1.325974	1.281237	3.089012	1.702042	1.902056	0.783123	1.356014	1.729254	1.005801	1.061108	0.936353	1.445275	1.388526	2.551152	2.191286	2.815365	1.227814	2.621739	2.526515	2.056761	2.020247	1.982901	2.622872	1.419736	1.090152	2.934482	1.200256	1.369109	2.033993	2.204617	4.258253	2.040686	1.01722	0.739907	0.698684	1.016797	2.664491	1.68846	0.335755	1.476598	1.521304	1.727147	1.185975	1.551904
0610012D04Rik	0	0	0	2.405622	1.127186	0.874531	0.484255	1.991899	0	0	0.463008	1.674446	1.899144	0	0.415481	0	0.544727	0	3.012768	0.616025	0.567296	1.474744	1.104286	0	1.897456	1.748857	1.399593	0	1.134054	1.100818	0.415275	0	0.474282	0	3.194256	0	0.933718	1.531501	2.449855	0	1.05636	1.020104	0	0	0	0	0	1.969407	3.24073	0.71305	0.647165	0	0	0	0	1.493273	0.875075	0.517836	0	0.511271	0	0	0	0
