Gene	177_759_LV	177_759_RV	180_760_LV	180_760_RV	181_761_LV	181_761_RV	182_762_LV	248_770_LV	250_668_LV	250_668_RV	252_673_LV	253_674_LV	253_674_RV	257_783_LV	257_783_RV	264_796_LV	264_796_RV	626_692_LV	631_703_LV	631_703_RV	636_740_LV	636_740_RV	637_741_LV	637_741_RV	645_750_LV	645_750_RV	647_753_LV	647_753_RV
	2015.169292	2035.446533	2165.979877	2222.184144	2054.913571	1995.421427	2042.930187	1972.692936	1987.675215	2042.008836	2142.50641	2064.185525	2043.319491	2127.88994	1989.363603	2024.596858	2293.442365	2018.53791	2015.032387	2143.976942	2076.144958	2102.658718	2046.075103	2157.93028	2112.473927	2029.819574	2221.675266	2148.615504
0610007P14Rik	698.9670206	708.188597	955.6445949	769.6723619	924.2974533	773.1623876	613.7607727	763.5922852	908.8491934	853.0457319	1056.009769	744.7242	782.0770116	750.1925837	928.5155237	852.6584704	853.5203076	947.3860867	818.2434062	901.492195	800.3883998	841.4803332	762.019532	832.7365488	695.7394769	752.0288911	937.2321748	850.1345078
0610009B22Rik	474.245	452.361	480.144	417.206	516.946	460.3558908	518.007	511.438	518.224	470.911	546.008717	479.779	466.0879931	481.707	493.967	492.9223912	465.751	523.234	558.247	503.855	522.1839694	521.9293658	479.308	493.479	413.447	485.977	521.938	504.6095347
0610009E02Rik	400.3549826	812.3166296	347.759	506.8201669	431.22058	468.3082618	380.4372961	504.3701647	885.1845944	506.8201669	390.117	357.045	660.4342279	351.445	524.8300713	393.5375222	373.0474176	857.1259012	568.230628	496.1084064	936.1863838	802.9779698	409.5909847	1021.484627	533.4914372	545.0014889	401.6720647	342.102
0610009L18Rik	341.4425146	337.975	347.452	330.945	381.209	327.041	371.169	332.561	353.735	349.009	384.852	343.129	340.612	356.137	349.692	343.313	325.019	350.953	347.79	333.572	362.6	331.935	341.07	337.043	331.985	350.74	347.187	324.642
0610009O20Rik	2653.186	2589.19	2633.183	2575.711	2581.717	2484.827	2595.739	2468.784	2483.346	2516.306	2560.723	2549.297	2537.428	2579.862	2566.357	2616.56	2565.433	2490.727	2482.915	2521.723	2537.427	2596.533	2542.971	2523.394	2539.199	2529.004	2552.782	2426.307
0610010F05Rik	2907.269639	3384.108652	2571.160978	2336.206213	3087.713404	2341.62288	2804.53106	3103.349902	3375.531745	2985.080733	3329.064747	3301.099941	2472.09203	3285.961598	2867.399229	2653.537893	2303.48287	3043.098072	3315.439702	2711.562578	2828.777398	2786.220915	2919.677909	3135.214437	3329.079749	2689.056811	3072.827674	2275.690478
0610010K14Rik	527.6461921	499.1209865	466.9231625	518.6924135	601.6989819	500.0857762	458.5451202	526.5401174	555.0394702	587.5350699	558.4583979	541.1441757	545.5709346	503.8448015	473.9067126	557.5080002	499.5918238	552.5396515	500.3827613	585.5775775	563.2860484	520.6595986	593.327728	556.8563454	534.6601561	578.3624622	552.5190889	495.3969629
0610011F06Rik	974.7785892	971.5501851	976.2601827	883.1918685	1059.345685	952.4643949	981.0410397	1025.606257	1067.93663	988.0571953	725.3213962	1036.003782	964.1762522	1057.203631	1051.510908	1034.789258	998.8471251	1100.98538	1118.992485	1106.902844	1107.421669	1012.69858	974.8584549	992.0311161	851.4659188	975.9761202	1007.744794	957.7076578
0610012D04Rik	264.719	276.029	267.2860924	249.562	280.443	258.375	267.2860924	246.631	271.671	266.122	267.2860924	267.2860924	280.686	262.306	265.283	259.141	255.037	268.516	267.82	263.292	278.868	265.151	271.014	269.41	269.609	270.083	267.363	267.153
0610025J13Rik	485.6827594	457.7132431	473.2713213	457.574	519.3248534	470.089	488.013	514.8621589	500.3600378	475.0096244	532.1535235	501.09945	480.8697538	479.8945238	485.6827594	481.8681955	439.24	506.4163154	488.555344	469.983281	514.7708824	496.5433447	507.0073567	484.7277541	505.1599037	511.023	526.4282023	459.3968321
0610030E20Rik	4573.861	4565.779	4577.772	4446.994	4627.977	4547.003	4612.572	4549.679	4526.347	4593.646	4711.049	4625.509	4608.44	4543.456	4543.647	4538.921	4497.118	4680.912	4584.799	4640.828	4618.182	4699.632	4635.796	4648.949	4526.114	4626.913	4668.718	4547.25
0610031O16Rik	1627.365	1179.616705	1598.472	1179.616705	1179.616705	1179.616705	594.752	1502.856	612.739	1179.616705	1179.616705	1179.616705	1179.616705	1179.616705	1179.616705	941.615	1597.333	1179.616705	1179.616705	925.59	1179.616705	1179.616705	1179.616705	1179.616705	1179.616705	1372.241031	1179.616705	1495.914
0610037L13Rik	1145.888402	1313.346446	1006.65791	1226.422325	958.5686746	981.9877677	1222.250911	1295.849571	1427.133545	1128.0854	1148.122777	988.9226358	1123.347878	1363.865582	1194.493165	1070.330872	987.8099235	1116.885632	1188.703345	1197.900025	1079.602356	1189.903998	1169.20868	1078.832465	1151.95486	1129.248626	1186.232932	1161.829572
0610038B21Rik	1422.673933	1364.724496	1454.267321	1340.434485	1417.574622	1572.400191	1577.069684	1356.453104	1392.232765	1346.117419	1490.708598	1396.126601	1484.010807	1442.287491	1460.531956	1382.60626	1237.636355	1380.124089	1337.868318	1548.675956	1600.60495	1449.200698	1502.968246	1410.831949	1551.51289	1470.060872	1466.387971	1409.75841
0610039K10Rik	765.016	697.344	746.535	681.301	785.178	699.985	792.679	775.028	763.992	731.289	789.783	731.504	686.041	755.891	741.815	761.405	727.897	768.426	771.13	729.635	775.88	741.328	728.603	716.876	679.034	735.179	767.14	667.484
0610040B10Rik	504.181	328.745	362.8097887	341.8948574	356.515	347.3193442	393.5639016	353.5912217	346.065	339.4303891	379.025	346.5329116	344.214	345.5716689	365.1981678	362.4296523	318.1	393.2496655	363.6015046	353.192386	363.7318147	354.27	348.008	360.2515515	355.579453	339.846	358.962	387.3103312
0610040F04Rik	1623.738186	1623.738186	1623.738186	1623.738186	1623.738186	1623.738186	1618.639	1623.738186	1585.785	1623.738186	1623.738186	1623.738186	1623.738186	1605.294	1623.738186	1626.787	1638.982	1623.738186	1582.978	1617.049	1627.105	1654.488	1654.225	1651.128	1623.738186	1614.65	1652.836	1623.738186
0610040J01Rik	2283.678	2199.427	2248.201	2191.529	2292.014	2205.429	2252.138	2136.968	2166.724	2194.914	2265.181	2249.492	2165.531	2249.131	2186.379	2270.146	2171.242	2205.012	2158.867	2194.476	2208.674	2259.175	2256.51	2221.259	2274.643	2169.718	2252.075	2061.577
