Gene	177_759_LV	177_759_RV	180_760_LV	180_760_RV	181_761_LV	181_761_RV	182_762_LV	248_770_LV	250_668_LV	250_668_RV	252_673_LV	253_674_LV	253_674_RV	257_783_LV	257_783_RV	264_796_LV	264_796_RV	626_692_LV	631_703_LV	631_703_RV	636_740_LV	636_740_RV	637_741_LV	637_741_RV	645_750_LV	645_750_RV	647_753_LV	647_753_RV
	108	188	115	118	121	113	74	125	197	155	94	100	141	176	152	124	110	142	126	147	189	146	111	161	123	136	133	187
0610007P14Rik	299	221	123.999	97	98	168	101	102.001	159	171	134	109	200	195	186	109	146	120	111	128	147	111	111	124	134	111.999	156	159
0610009B22Rik	105	83	117	77	110	127	106	133	203	163	141	94	161	161	142	139	96	144	128	139	251	114	144	177	98	180	167	260
0610009E02Rik	9.525	27.671	5.823	0	16.971	11.172	20.039	14.54	30.302	0	13.65	5.231	13.595	7.017	5.612	11.215	9.59	19.573	19.843	5.733	22.486	29.369	23.806	7.684	10.54	12.827	11.603	15.474
0610009L18Rik	0	24	26.482	18.817	15.688	20.156	29.396	19.58	16.402	44.092	21.088	17.659	17.255	26.973	22.724	23.297	20	29.038	22.774	31.948	18.907	9.193	29.861	27.127	19.075	26.526	28.569	43.095
0610009O20Rik	680.885	722.958	1576.649	1073.895	1775.352	1846.799	1203.177	2195.838	2803.877	2062.48	1671.948	1687.234	1986.149	1430.249	1093.611	1562.708	901.884	2256.478	1715.559	2179.11	3323.007	1539.769	2049.602	2167.993	1711.185	1911.78	2394.238	2832.369
0610010F05Rik	491.999	394.001	361.001	311.999	234	217	266	237.999	360.999	389	243	262.001	348	366.001	406.999	407.001	347.001	302.999	262	380	407	269	261	285.001	252.999	291	299	233
0610010K14Rik	261.496	200.897	119.685	132.511	150.584	233.151	100.275	109.08	176.975	237.627	168.996	177.064	225.481	233.345	215.831	174.061	143.174	160.509	129.895	159.747	281.943	150.517	159.591	170.605	141.459	128.548	172.181	215.964
0610011F06Rik	36.199	63.584	56.218	50	56.557	81.668	29.195	54.822	87.489	67	65.664	49.964	77.096	58.631	69.206	39.91	64.486	81.629	40	81.324	89.994	52.193	67.137	43.158	63.588	44.544	76.538	85.206
0610012D04Rik	12	7	0	1	3	5	0	5	10	6	0	0	7	3	11	7	3	3	5	2	6	4	1	6	4	1	4	9
0610025J13Rik	0	2	14	2	8	2	7	6	6	10	5	3	10	5	0	10	3	19	5	7	10	10	11	9	6	5	12	12
0610030E20Rik	501.259	561.146	418.141	213.972	184.915	357.69	252.465	260.682	422.304	450.365	251.972	231.313	300.895	472.939	461.984	316.969	325.075	256.652	237.766	303.079	421.622	309.016	219.238	261.251	315.208	285.875	329.171	375.847
0610031O16Rik	2	0	6	0	0	0	1	1	1	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	6	0	5.186
0610037L13Rik	443	619	411.002	325.999	303	601.999	245.001	293.001	543	504.001	340.001	331	549	624	568	339	458	425.001	351	480	446.999	375	320.002	333.001	381	421.002	432	594
0610038B21Rik	89.383	72.205	54.893	49.044	62.865	47.606	39.75	41.668	65.994	62.904	39.36	40.458	50.08	43.84	42.652	62.493	38.016	53.995	49.667	29.375	73.421	53.652	62.883	38.784	60.768	42.177	70.467	64.045
0610039K10Rik	29.008	21.005	25.02	23.019	12.005	1	8.004	5	16.028	19	3.001	10	7.004	6.012	19	57.023	23.015	10.022	4.002	11	11.024	4.002	5.002	13	4.033	12	3	6
0610040B10Rik	9.062	2.641	28.808	18.003	11.536	35.293	14.674	16.646	43.433	29.618	17.187	27.265	39.498	24.708	17.377	37.078	4.783	17.654	27.764	22.284	46.999	21.11	24.736	13.715	14.403	23.006	30.896	44.301
0610040F04Rik	0	0	0	0	0	0	3.01	0	1.004	0	0	0	0	5.015	0	7	3.019	0	4.003	5.028	1.003	2.013	1	9.099	0	2.004	7.019	0
