Gene	177_759_LV	177_759_RV	180_760_LV	180_760_RV	181_761_LV	181_761_RV	182_762_LV	248_770_LV	250_668_LV	250_668_RV	252_673_LV	253_674_LV	253_674_RV	257_783_LV	257_783_RV	264_796_LV	264_796_RV	626_692_LV	631_703_LV	631_703_RV	636_740_LV	636_740_RV	637_741_LV	637_741_RV	645_750_LV	645_750_RV	647_753_LV	647_753_RV
0610007P14Rik	18.847378	16.366435	4.749552	5.713735	4.410846	6.583092	7.567377	5.65669	5.051292	6.11336	5.380596	5.881301	7.837728	9.822881	9.08664	4.832	7.89183	4.307575	6.245879	4.588801	4.622849	5.066128	5.313631	4.802968	6.361245	5.264329	5.546061	5.02986
0610009B22Rik	9.754898	9.622838	8.919533	8.367465	8.852273	8.357986	9.410086	11.012422	11.31035	10.556134	10.949976	7.872786	10.586872	12.630486	13.039756	10.658884	9.509469	9.359346	10.55692	8.915812	12.098817	8.38862	10.95927	11.56912	7.828698	13.092301	10.661164	13.856837
0610009E02Rik	1.048254	1.786529	0.612933	0	1.637257	0.722741	2.422144	1.220742	0.988405	0	1.483689	0.588756	0.630894	0.754486	0.48501	1.077144	1.185942	0.776607	1.607862	0.373426	0.604577	1.404669	2.120189	0.242645	0.652525	0.831884	0.96246	1.216456
0610009L18Rik	0	3.724238	2.789888	2.577732	1.712014	1.867176	3.642038	2.493299	1.338786	3.85282	2.323427	2.068017	1.552603	2.862141	2.947666	2.565029	2.838964	2.813844	3.014857	3.095366	1.312496	1.063633	3.193694	2.596069	1.89772	2.673276	2.741825	3.569983
0610009O20Rik	11.30688	14.643996	21.917018	18.902489	28.607726	22.517217	21.31532	37.665269	32.600101	24.996688	27.685591	26.594833	23.989876	20.950406	19.329702	22.574723	16.219176	30.809427	31.812453	27.92757	32.9633	22.775028	29.401014	27.712018	22.257883	26.720702	31.250753	31.394256
0610010F05Rik	7.456179	6.106082	5.139317	6.054769	3.152727	2.807592	4.361587	3.247657	3.087892	3.974199	3.095121	3.189223	4.314442	4.209164	6.438515	5.797551	6.949977	3.386144	3.638425	4.529134	3.621501	3.70795	3.260917	2.93206	2.510037	3.825186	3.242201	2.753524
0610010K14Rik	21.835299	21.109678	9.382599	11.582276	10.411359	14.124886	10.0562	8.772754	9.206299	12.334389	12.831559	13.147882	12.666828	17.501577	20.658734	11.801224	13.221881	9.878995	11.952012	8.81653	12.598665	11.102595	9.811776	9.881942	8.73857	7.856412	10.383549	11.723976
0610011F06Rik	1.636184	3.432346	2.10783	2.566665	2.221046	2.597715	1.368511	2.263574	2.365411	2.067992	3.83879	1.937927	2.450663	2.095793	2.985432	1.457847	2.97851	2.521414	1.645835	2.374449	2.045456	1.979385	2.512223	1.403237	2.46657	1.613248	2.530672	2.392686
0610012D04Rik	1.997253	1.330006	0	0.181667	0.445025	0.586287	0	0.858512	1.062804	0.687584	0	0	0.764342	0.432205	1.880889	1.021026	0.542696	0.379953	0.859569	0.245496	0.54156	0.579381	0.134599	0.718344	0.490015	0.130877	0.498501	0.906
0610025J13Rik	0	0.229164	1.082793	0.198163	0.640853	0.128897	0.659614	0.493496	0.346231	0.642028	0.398407	0.240569	0.637357	0.393733	0	0.784418	0.315107	1.275923	0.471204	0.481356	0.488967	0.773464	0.791431	0.598881	0.392289	0.345851	0.759537	0.702489
